file,scene,blur_sigma,total_voxels,signal_voxels,percent_volume
JB-I-31-10_PEG-10mol_.lif,n3-t2-b,2.0,14680064,5771490,39.31515557425363
JB-I-31-10_PEG-10mol_.lif,n3-t2-c,2.0,11534336,4428489,38.39396563443271
JB-I-31-10_PEG-10mol_.lif,n3-t2-40x,2.0,11534336,5521398,47.869231484153055
JB-I-31-10_PEG-10mol_.lif,n3-t2-40x-2,2.0,9437184,2486828,26.351377699110245
JB-I-31-10_PEG-10mol_.lif,n3-t2-40-3,2.0,7340032,3005213,40.942777906145366
JB-I-31-10_PEG-10mol_.lif,n4-t2-a,2.0,12582912,5475886,43.51843198140462
JB-I-31-10_PEG-10mol_.lif,n4-t2-b,2.0,12582912,4615859,36.683551470438644
JB-I-31-10_PEG-10mol_.lif,n4-t2-c,2.0,12582912,4521103,35.93049844106038
JB-I-31-10_PEG-10mol_.lif,n4-t2-40x,2.0,8388608,4141877,49.37502145767212
JB-I-31-10_PEG-10mol_.lif,n4-t2-40x-2,2.0,7340032,3513783,47.87149429321289
JW-30-10_PEG-0mol_.lif,n1-t0-a,2.0,13631488,7637226,56.02635603684646
JW-30-10_PEG-0mol_.lif,n1-t0-b,2.0,14680064,9365511,63.79748071943011
JW-30-10_PEG-0mol_.lif,n1-t0-c,2.0,15728640,8752863,55.64920425415038
JW-30-10_PEG-0mol_.lif,n2-t0-a,2.0,13631488,5916735,43.404909280630264
JW-30-10_PEG-0mol_.lif,n2-t0-b,2.0,19922944,8620864,43.27103464226973
JW-30-10_PEG-0mol_.lif,n2-t0-c,2.0,25165824,11613944,46.14966710408528
JW-30-10_PEG-0mol_.lif,n3-t0-a,2.0,17825792,8242816,46.24095243566176
JW-30-10_PEG-0mol_.lif,n3-t0-b,2.0,12582912,8642423,68.68380705515543
JW-30-10_PEG-0mol_.lif,n3-t0-c,2.0,12582912,8276025,65.7719373703003
JW-30-10_PEG-0mol_.lif,n3-t0-d,2.0,16777216,6663416,39.71705436706543
JW-30-10_PEG-0mol_.lif,n1-t1-a,2.0,13631488,6332096,46.45197941706731
JW-30-10_PEG-0mol_.lif,n1-t1-b,2.0,11534336,4129074,35.79810749400746
JW-30-10_PEG-0mol_.lif,n1-t1-c,2.0,11534336,5076224,44.009676846590914
JW-30-10_PEG-0mol_.lif,n2-t2-a,2.0,11534336,6332213,54.898808219216086
JW-30-10_PEG-0mol_.lif,n2-t2-b,2.0,11534336,7356516,63.77927606756037
JW-30-10_PEG-0mol_.lif,n2-t2-c,2.0,12582912,6254938,49.70978101094563
JW-30-10_PEG-0mol_.lif,n3-t2-a,2.0,11534336,5660837,49.078135056929156
JW-30-10_PEG-0mol_.lif,n3-t2-b,2.0,19922944,8956667,44.956543571070625
JW-30-10_PEG-0mol_.lif,n3-t2-c,2.0,23068672,9039734,39.18619155883789
JW-30-10_PEG-0mol_.lif,n1-t3-a,2.0,12582912,5264023,41.83469613393147
JW-30-10_PEG-0mol_.lif,n1-t3-b,2.0,12582912,6345352,50.42832692464193
